id,task_id,task_name,task_type,status,assigned_device_id,assigned_device_ids,assigned_user_id,description,estimated_duration,actual_duration,created_at,started_at,completed_at,map_id,zone_ids,stop_ids,task_details
1,TASK0001,Auto Pickup 4-Stop - p1,picking,cancelled,1,1,,"Automatically created from CSV: pickup=p1, check=c, drop=d, end=e",,,2026-02-28T17:23:12.395996,,,26,,"p1,c,d,e","{""pickup_map_id"": ""26"", ""pickup_stops"": [""p1""], ""pickup_stop_id"": ""p1"", ""check_stop_id"": ""c"", ""drop_stop_id"": ""d"", ""end_stop_id"": ""e"", ""end_zone"": ""12"", ""drop_zone"": ""12"", ""automatic"": true}"
2,TASK0002,Auto Pickup 4-Stop - p1,picking,completed,1,1,,"Automatically created from CSV: pickup=p1, check=c, drop=d, end=e",,12,2026-02-28T17:31:22.639490,2026-02-28T18:02:49.821330,2026-02-28T18:03:01.830640,26,,"p1,c,d,e","{""pickup_map_id"": ""26"", ""pickup_stops"": [""p1""], ""pickup_stop_id"": ""p1"", ""check_stop_id"": ""c"", ""drop_stop_id"": ""d"", ""end_stop_id"": ""e"", ""end_zone"": ""12"", ""drop_zone"": ""12"", ""automatic"": true}"
3,TASK0003,Auto Pickup 4-Stop - p2,picking,cancelled,1,1,,"Automatically created from CSV: pickup=p2, check=c, drop=d, end=e",,,2026-03-05T17:50:38.570380,,,28,,"p2,c,d,e","{""pickup_map_id"": ""28"", ""pickup_stops"": [""p2""], ""pickup_stop_id"": ""p2"", ""check_stop_id"": ""c"", ""drop_stop_id"": ""d"", ""end_stop_id"": ""e"", ""end_zone"": ""12"", ""drop_zone"": ""12"", ""initial_direction"": ""north"", ""automatic"": true}"
4,TASK0004,Auto Pickup 4-Stop - p2,picking,cancelled,1,1,,"Automatically created from CSV: pickup=p2, check=c, drop=d, end=e",,,2026-03-05T17:58:21.842469,2026-03-05T17:59:12.654925,,28,,"p2,c,d,e","{""pickup_map_id"": ""28"", ""pickup_stops"": [""p2""], ""pickup_stop_id"": ""p2"", ""check_stop_id"": ""c"", ""drop_stop_id"": ""d"", ""end_stop_id"": ""e"", ""end_zone"": ""12"", ""drop_zone"": ""12"", ""initial_direction"": ""north"", ""automatic"": true}"
7,TASK0007,qe,auditing,completed,2,2,,,,0,2026-03-06T12:56:21.235635,2026-03-06T12:56:36.978173,2026-03-06T12:56:48.040502,30,,,"{""auditing_map_id"": ""30"", ""auditing_map_name"": ""Igno1"", ""barcode"": """", ""initial_direction"": ""north""}"
8,TASK0008,dfb,auditing,completed,2,2,,,,1,2026-03-09T14:17:29.552908,2026-03-09T14:17:51.083838,2026-03-09T14:18:58.214883,31,,,"{""auditing_map_id"": ""31"", ""auditing_map_name"": ""sun"", ""barcode"": """", ""initial_direction"": ""north""}"
9,TASK0009,fdg,picking,cancelled,2,2,,,,,2026-03-17T14:36:32.369772,,,30,,C1,"{""pickup_map_id"": ""30"", ""pickup_map_name"": ""JK_origin"", ""pickup_stops"": [""C1""], ""pickup_stop_names"": [""Charging (C1)""], ""pickup_racks"": [], ""pickup_rack_names"": [], ""drop_zone"": ""14"", ""end_zone"": ""14"", ""drop_zone_name"": ""14"", ""end_zone_name"": ""14"", ""check_stop_id"": ""D1"", ""drop_stop_id"": ""P"", ""end_stop_id"": ""C"", ""initial_direction"": ""north""}"
10,TASK0010,uji,picking,cancelled,2,2,,,,,2026-03-17T14:37:43.844218,,,30,,C,"{""pickup_map_id"": ""30"", ""pickup_map_name"": ""JK_origin"", ""pickup_stops"": [""C""], ""pickup_stop_names"": [""Charging (C)""], ""pickup_racks"": [], ""pickup_rack_names"": [], ""drop_zone"": ""16"", ""end_zone"": ""16"", ""drop_zone_name"": ""16"", ""end_zone_name"": ""16"", ""check_stop_id"": ""C"", ""drop_stop_id"": ""D1"", ""end_stop_id"": ""P"", ""initial_direction"": ""north""}"
11,TASK0011,jk,auditing,pending,2,2,,,,,2026-03-17T14:38:07.591607,,,30,,,"{""auditing_map_id"": ""30"", ""auditing_map_name"": ""JK_origin"", ""barcode"": """", ""initial_direction"": ""north""}"
