id,device_id,device_name,device_model,forward_speed,turning_speed,vertical_speed,horizontal_speed,status,battery_level,current_map,current_location,wheel_diameter,distance_between_wheels,length,width,height,lifting_height,distance,facing_direction,created_at,updated_at
1,rob1,rob1,V1,1000,1000,100,0,working,100,28,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,North,,2026-03-17T14:38:45.764511
2,rob2,rob2,V1,459,459,0,0,working,53,30,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,North,,2026-03-17T14:38:45.793098
