id,device_id,device_name,device_model,forward_speed,turning_speed,vertical_speed,horizontal_speed,status,battery_level,current_map,current_location,wheel_diameter,distance_between_wheels,length,width,height,lifting_height,distance,facing_direction,created_at,updated_at
1,rob1,rob1,V1,1000,1000,100,0,working,27,28,12,0.00,0.00,0.00,0.00,0.00,0.00,-1160.00,N/A,,2026-03-05T11:37:05.978365
2,rob2,rob2,V1,1000,1000,0,0,working,53,27,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,North,,2026-03-05T11:37:05.998286
