id,device_id,device_name,device_model,forward_speed,turning_speed,vertical_speed,horizontal_speed,status,battery_level,current_map,current_location,wheel_diameter,distance_between_wheels,length,width,height,lifting_height,distance,created_at,updated_at
1,rob1,rob1,V1,100,100,0,0,working,46,21,5,0.00,0.00,0.00,0.00,0.00,0.00,-969.00,2026-01-27T14:27:18.707427,2026-02-20T15:30:31.691145
2,rob2,rob2,V1,100,100,0,0,working,100,22,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2026-01-27T14:27:44.041233,2026-02-20T15:30:31.700588
3,rob3,rob3,V1,100,100,0,0,working,19,21,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2026-01-27T14:27:44.041233,2026-02-19T19:02:51.696302
