id,device_id,device_name,device_model,forward_speed,turning_speed,vertical_speed,horizontal_speed,status,battery_level,current_map,current_location,wheel_diameter,distance_between_wheels,length,width,height,lifting_height,distance,facing_direction,created_at,updated_at
1,rob1,rob1,V1,1000,1000,0,0,working,86,26,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,North,2026-01-27T14:27:18.707427,2026-02-28T15:54:49.850348
2,rob2,rob2,V1,1000,1000,0,0,working,86,26,11,0.00,0.00,0.00,0.00,0.00,0.00,-22.00,,2026-01-27T14:27:44.041233,2026-02-28T15:54:49.878400
